URI,RMM_Tool
helpme.net,GoToAssist
*.gotoassist.me,GoToAssist
*.gotoassist.at,GoToAssist
*.desktopstreaming.com,GoToAssist
*.cdn.getgo.com,GoToAssist
kabuto.io,Syncro
*.syncromsp.com,Syncro
*.syncroapi.com,Syncro
syncromsp.com,Syncro
servably.com,Syncro
ld.aurelius.host,Syncro
app.kabuto.io ,Syncro
*.kabutoservices.com,Syncro
repairshopr.com,Syncro
kabutoservices.com,Syncro
attachments.servably.com,Syncro
